取出情報,ダム,,,,,,
取出間隔,10分間隔,,,,,,
取出期間,　2023/06/25～,,　2023/07/02,,,,
,,,,,,,
ダム名,厚東川ダム,,,,,,
洪水量,300,,,,,,
観測時刻,60分雨量,累加雨量,貯水位,貯水率,流入量,全放流量,調整流量
　2023/06/25 00:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 00:20,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 00:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 00:40,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 00:50,,,36.75,97.1,6.14,6.12,-0.02
　2023/06/25 01:00,0,0,36.75,97.1,6.14,6.13,-0.01
　2023/06/25 01:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 01:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 01:30,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 01:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 01:50,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 02:00,0,0,36.75,97.1,6.13,6.13,0
　2023/06/25 02:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 02:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 02:30,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 02:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 02:50,,,36.75,97.1,6.13,6.13,0
　2023/06/25 03:00,0,0,36.75,97.1,6.13,6.11,-0.02
　2023/06/25 03:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 03:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 03:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 03:40,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 03:50,,,36.75,97.1,6.13,6.11,-0.02
　2023/06/25 04:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 04:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 04:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 04:30,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 04:40,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 04:50,,,36.75,97.1,6.13,6.13,0
　2023/06/25 05:00,0,0,36.75,97.1,6.14,6.14,0
　2023/06/25 05:10,,,36.75,97.1,6.14,6.12,-0.02
　2023/06/25 05:20,,,36.75,97.1,6.13,6.15,0.02
　2023/06/25 05:30,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 05:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 05:50,,,36.75,97.1,6.13,6.13,0
　2023/06/25 06:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 06:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 06:20,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 06:30,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 06:40,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 06:50,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 07:00,0,0,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 07:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 07:20,,,36.75,97.1,6.13,6.16,0.03
　2023/06/25 07:30,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 07:40,,,36.75,97.1,6.13,6.15,0.02
　2023/06/25 07:50,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 08:00,0,0,36.75,97.1,6.13,6.13,0
　2023/06/25 08:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 08:20,,,36.75,97.1,6.13,6.11,-0.02
　2023/06/25 08:30,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 08:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 08:50,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 09:00,0,0,36.75,97.1,6.13,6.13,0
　2023/06/25 09:10,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 09:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 09:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 09:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 09:50,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 10:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 10:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 10:20,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 10:30,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 10:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 10:50,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 11:00,0,0,36.75,97.1,6.13,6.13,0
　2023/06/25 11:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 11:20,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 11:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 11:40,,,36.75,97.1,6.13,6.11,-0.02
　2023/06/25 11:50,,,36.75,97.1,6.13,6.13,0
　2023/06/25 12:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 12:10,,,36.75,97.1,6.13,6.13,0
　2023/06/25 12:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 12:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 12:40,,,36.75,97.1,6.13,6.13,0
　2023/06/25 12:50,,,36.75,97.1,6.13,6.13,0
　2023/06/25 13:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 13:10,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 13:20,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 13:30,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 13:40,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 13:50,,,36.75,97.1,6.13,6.11,-0.02
　2023/06/25 14:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 14:10,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 14:20,,,36.75,97.1,6.13,6.13,0
　2023/06/25 14:30,,,36.75,97.1,6.12,6.14,0.02
　2023/06/25 14:40,,,36.75,97.1,6.12,6.13,0.01
　2023/06/25 14:50,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 15:00,0,0,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 15:10,,,36.75,97.1,6.13,6.12,-0.01
　2023/06/25 15:20,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 15:30,,,36.75,97.1,6.13,6.13,0
　2023/06/25 15:40,,,36.75,97.1,6.13,6.14,0.01
　2023/06/25 15:50,,,36.75,97.1,6.13,6.15,0.02
　2023/06/25 16:00,0,0,36.75,97.1,6.13,6.14,0.01
　2023/06/25 16:10,,,36.75,97.1,6.14,6.14,0
　2023/06/25 16:20,,,36.75,97.1,6.14,6.14,0
　2023/06/25 16:30,,,36.75,97.1,6.14,6.13,-0.01
　2023/06/25 16:40,,,36.75,97.1,6.14,6.14,0
